Brand,Mftr Code,Description,Dove Code,RRP,Price,Qty,Category 1,Category 2,Category 3,Image URL,Product URL
"Canon","CART322MII","Canon CART322MII Magenta High Yield Toner","PB0387",505.00,324.50,0,"Printer Consumables","Toner","","http://www.dove.co.nz/images/products/14186-2815296.jpg","http://www.dove.co.nz/jump/14186"
"Canon","CART322Y","Canon CART322Y Yellow Toner","PB0388",285.00,183.10,0,"Printer Consumables","Toner","","http://www.dove.co.nz/images/products/14186-2815296.jpg","http://www.dove.co.nz/jump/14186"
"Canon","CART322YII","Canon CART322YII Yellow High Yield Toner","PB0389",505.00,324.50,0,"Printer Consumables","Toner","","http://www.dove.co.nz/images/products/14186-2815296.jpg","http://www.dove.co.nz/jump/14186"
"Canon","FX3","Canon FX3 Black Toner","PB0390",203.42,100.00,1,"Printer Consumables","Toner","","http://www.dove.co.nz/images/products/17685-3510151.jpg","http://www.dove.co.nz/jump/17685"
"Canon","CART333II","Canon CART333II Black High Yield Toner","PB0393",609.50,332.50,1,"Printer Consumables","Toner","","","http://www.dove.co.nz/jump/0"
"Canon","CART052H","Canon CART052II Black Toner for LBP212DW","PB0395H",329.99,186.40,1,"Printer Consumables","Toner","","http://www.dove.co.nz/images/products/18704-1015235.jpg","http://www.dove.co.nz/jump/18704"
"Canon","CART052","Canon CART052 Black Toner for LBP212DW","PB0395S",139.99,89.30,0,"Printer Consumables","Toner","","http://www.dove.co.nz/images/products/18704-1015235.jpg","http://www.dove.co.nz/jump/18704"
"Canon","CART046BK","Canon CART046BK Black Toner","PB0401",125.01,80.30,0,"Printer Consumables","Toner","","http://www.dove.co.nz/images/products/17705-2911151.jpg","http://www.dove.co.nz/jump/17705"
"Canon","CART046C","Canon CART046C Cyan Toner","PB0402",145.00,93.20,0,"Printer Consumables","Toner","","http://www.dove.co.nz/images/products/17706-3011151.jpg","http://www.dove.co.nz/jump/17706"
"Canon","CART046M","Canon CART046M Magenta Toner","PB0403",145.00,93.20,0,"Printer Consumables","Toner","","http://www.dove.co.nz/images/products/17707-3111151.jpg","http://www.dove.co.nz/jump/17707"
"Canon","CART046Y","Canon CART046Y Yellow Toner","PB0404",145.00,93.20,0,"Printer Consumables","Toner","","http://www.dove.co.nz/images/products/17708-3211151.jpg","http://www.dove.co.nz/jump/17708"
"Canon","CART046BKII","Canon CART046BKII Black Toner High Capacity","PB0405",195.01,125.30,0,"Printer Consumables","Toner","","http://www.dove.co.nz/images/products/17709-3311151.jpg","http://www.dove.co.nz/jump/17709"
"Canon","CART046CII","Canon CART046CII Cyan Toner High Capacity","PB0406",245.00,157.40,0,"Printer Consumables","Toner","","http://www.dove.co.nz/images/products/17710-3411151.jpg","http://www.dove.co.nz/jump/17710"
"Canon","CART046MII","Canon CART046MII Magenta Toner High Capacity","PB0407",245.00,157.40,0,"Printer Consumables","Toner","","http://www.dove.co.nz/images/products/17711-3511151.jpg","http://www.dove.co.nz/jump/17711"
"Canon","CART046YII","Canon CART046YII Yellow Toner High Capacity","PB0408",245.00,157.40,0,"Printer Consumables","Toner","","http://www.dove.co.nz/images/products/17712-3611151.jpg","http://www.dove.co.nz/jump/17712"
"Canon","CART039","Canon CART039 Black Toner 11,000 Pages","PB0415",295.00,188.50,0,"Printer Consumables","Toner","","","http://www.dove.co.nz/jump/0"
"Canon","CART039II","Canon CART039II Black Toner 25,000 Pages","PB0416",450.00,289.00,0,"Printer Consumables","Toner","","","http://www.dove.co.nz/jump/0"
"Canon","CART040BKII","Canon CART040BKII Black Toner High Capacity","PB0421",255.00,165.00,0,"Printer Consumables","Toner","","","http://www.dove.co.nz/jump/0"
"Canon","CART040CII","Canon CART040CII Cyan Toner High Capacity","PB0422",350.00,226.60,0,"Printer Consumables","Toner","","","http://www.dove.co.nz/jump/0"
"Canon","CART040MII","Canon CART040MII Magenta Toner High Capacity","PB0423",350.00,226.60,0,"Printer Consumables","Toner","","","http://www.dove.co.nz/jump/0"
"Canon","CART040YII","Canon CART040YII YellowToner High Capacity","PB0424",350.00,226.60,0,"Printer Consumables","Toner","","","http://www.dove.co.nz/jump/0"
"Canon","CP20","Canon CP20 Ink Roller - Single Unit","PB0C01",11.95,8.70,2,"Calculators","","","http://www.dove.co.nz/images/products/9241-616117.jpg","http://www.dove.co.nz/jump/9241"
"Canon","CP12","Canon CP12 Ink Roller - Single Unit","PB0C05",16.95,10.90,1,"Calculators","","","http://www.dove.co.nz/images/products/9241-616117.jpg","http://www.dove.co.nz/jump/9241"
"Canon","CP13II","Canon CP13II Ink Roller - Single Unit","PB0C06",15.95,10.50,5,"Calculators","","","http://www.dove.co.nz/images/products/9241-616117.jpg","http://www.dove.co.nz/jump/9241"
"Canon","MPRIBBON","Canon MP Ink Ribbon (Single Unit)","PB0C11",9.95,7.00,0,"Calculators","","","http://www.dove.co.nz/images/products/9241-616117.jpg","http://www.dove.co.nz/jump/9241"
"Canon","LK62","Canon LK62 Spare Battery - iP100","PB1095",179.00,124.00,0,"Canon Printer & Accessories","Printer Accessories","","http://www.dove.co.nz/images/products/10993-3013193.jpg","http://www.dove.co.nz/jump/10993"
"Canon","IPMOBILEBAG","Canon IP110 Mobile Travel Bag","PB1096",59.99,38.35,0,"Canon Printer & Accessories","Printer Accessories","","","http://www.dove.co.nz/jump/0"
"Canon","IP110","Canon iP110 A4 20ppm Portable Inkjet Printer","PB1102",399.00,251.00,5,"Printers & MFC - Inkjet","Canon Printer & Accessories","","http://www.dove.co.nz/images/products/12158-4514117.jpg","http://www.dove.co.nz/jump/12158"
"Canon","IX6860","Canon IX6860 Inkjet Printer A3 WIFI 8.8ipm","PB1686",249.00,168.00,0,"Printers & MFC - Inkjet","Canon Printer & Accessories","","http://www.dove.co.nz/images/products/11309-5214117.jpg","http://www.dove.co.nz/jump/11309"
"Canon","IP7260","Canon PIXMA IP7260 A4 15ipm Inkjet Printer","PB1726",179.00,116.00,1,"Printers & MFC - Inkjet","Canon Printer & Accessories","","http://www.dove.co.nz/images/products/9101-1113281.jpg","http://www.dove.co.nz/jump/9101"
"Canon","CP1300","Canon Selphy CP1300 Dye Sub Photo Printer with Wi-Fi (White)","PB1798",179.00,130.00,0,"Printers & MFC - Inkjet","Canon Printer & Accessories","","http://www.dove.co.nz/images/products/17566-1311262.jpg","http://www.dove.co.nz/jump/17566"
"Canon","PRO-10S","Canon PIXMA Pro-10S A3+ 10 Ink Professional Inkjet Printer","PB1902S",1199.00,811.00,0,"Canon Printer & Accessories","Printers & MFC - Inkjet","","http://www.dove.co.nz/images/products/13209-3412117.jpg","http://www.dove.co.nz/jump/13209"
"Canon","PRO-100S","Canon PIXMA Pro-100S A3 8 Ink Professional Inkjet Printer","PB1903S",999.00,676.00,0,"Canon Printer & Accessories","Printers & MFC - Inkjet","","http://www.dove.co.nz/images/products/13210-2812117.jpg","http://www.dove.co.nz/jump/13210"
"Canon","IP8760","Canon PIXMA iP8760 A3+ 14.5ipm Inkjet Printer","PB1904",399.00,270.00,0,"Canon Printer & Accessories","Printers & MFC - Inkjet","","http://www.dove.co.nz/images/products/11179-2015117.jpg","http://www.dove.co.nz/jump/11179"
"Canon","PRO1000","Canon imagePROGRAF Pro-1000 A2 Inkjet Printer","PB1905",2299.00,1555.00,0,"Canon Printer & Accessories","Printers & MFC - Inkjet","","http://www.dove.co.nz/images/products/14025-2515117.jpg","http://www.dove.co.nz/jump/14025"
"Canon","HR-101","Canon HR-101N A4 High Resolution 106gsm Photo Paper - 200 Sheets","PB2010",49.99,34.00,0,"Printer Consumables","","","http://www.dove.co.nz/images/products/17370-3114612.jpg","http://www.dove.co.nz/jump/17370"
"Canon","HR101A4II","Canon HR101 A4 High Resolution Paper 110GSM (50)","PB2011",21.99,15.00,0,"Printer Consumables","","","","http://www.dove.co.nz/jump/0"
"Canon","HR101A3II","Canon HR-101 A3 High Resolution 110gsm Photo Paper - 20 Sheets","PB2013",18.39,11.50,0,"Printer Consumables","","","","http://www.dove.co.nz/jump/0"
"Canon","GP701-4X6-50","Canon GP701 4x6 Glossy Photo Paper 210GSM 50 Sheets","PB2026",20.00,18.00,21,"Printer Consumables","","","","http://www.dove.co.nz/jump/0"
"Canon","PT1014X6-20","Canon PT-101 4x6 Pro Platinum 300gsm Photo Paper - 20 Sheets","PB2035",22.99,13.80,0,"Printer Consumables","","","http://www.dove.co.nz/images/products/17372-4914612.jpg","http://www.dove.co.nz/jump/17372"
"Canon","PT101A4-20","Canon PT-101 A4 Pro Platinum 300gsm Photo Paper - 20 Sheets","PB2036",39.99,24.10,0,"Printer Consumables","","","http://www.dove.co.nz/images/products/17373-5514612.jpg","http://www.dove.co.nz/jump/17373"
"Canon","MP101","Canon MP-101 A4 Matte 170gsm Photo Paper - 50 Sheets","PB2041",27.99,16.80,16,"Printer Consumables","","","http://www.dove.co.nz/images/products/17375-315612.jpg","http://www.dove.co.nz/jump/17375"
"Canon","MP101A3","Canon MP-101 A3 Matte 170gsm Photo Paper - 40 Sheets","PB2042",51.11,30.80,0,"Printer Consumables","","","http://www.dove.co.nz/images/products/17376-1615612.jpg","http://www.dove.co.nz/jump/17376"
"Canon","LU101A3+-20","Canon LU-101 A3+ Pro Luster 260gsm Photo Paper - 20 Sheets","PB2043",130.00,78.30,0,"Printer Consumables","","","http://www.dove.co.nz/images/products/17377-2115612.jpg","http://www.dove.co.nz/jump/17377"
"Canon","PT101A3+-10","Canon PT-101 A3+ Pro Platinum 300gsm Photo Paper - 10 Sheets","PB2045",60.00,36.10,0,"Printer Consumables","","","http://www.dove.co.nz/images/products/17374-5914612.jpg","http://www.dove.co.nz/jump/17374"
"Canon","SG201A4","Canon SG-201 A4 Semi Gloss Satin 260gsm Photo Paper - 20 Sheets","PB2061",34.99,21.00,0,"Printer Consumables","","","http://www.dove.co.nz/images/products/17379-5715612.jpg","http://www.dove.co.nz/jump/17379"
"Canon","SG2014X6","Canon SG-201 4x6 Semi Gloss Satin 260gsm Photo Paper - 20 Sheets","PB2063",18.99,11.40,0,"Printer Consumables","","","http://www.dove.co.nz/images/products/17380-5915612.jpg","http://www.dove.co.nz/jump/17380"
"Canon","SG201A3","Canon SG-201 A3 Semi Gloss Satin 260gsm Photo Paper - 20 Sheets","PB2064",74.99,45.10,1,"Printer Consumables","","","http://www.dove.co.nz/images/products/17381-416612.jpg","http://www.dove.co.nz/jump/17381"
"Canon","SG201A3+","Canon SG-201 A3+ Semi Gloss Satin 260gsm Photo Paper - 20 Sheets","PB2065",153.32,92.40,5,"Printer Consumables","","","http://www.dove.co.nz/images/products/17382-516612.jpg","http://www.dove.co.nz/jump/17382"
"Canon","PP3014X620","Canon PP-301 4x6 Glossy II 275gsm Photo Paper - 20 Sheets","PB2066",12.99,7.00,8,"Printer Consumables","","","http://www.dove.co.nz/images/products/17383-1016612.jpg","http://www.dove.co.nz/jump/17383"
"Canon","PP301-4X6-100","Canon PP-301 4x6 Glossy II 275gsm Photo Paper - 100 Sheets","PB2068",29.99,18.10,21,"Printer Consumables","","","http://www.dove.co.nz/images/products/17384-1116612.jpg","http://www.dove.co.nz/jump/17384"
"Canon","PP301A4-20","Canon PP-301 A4 Glossy II 275gsm Photo Paper - 20 Sheets","PB2070",19.99,13.00,21,"Printer Consumables","","","http://www.dove.co.nz/images/products/17385-1416612.jpg","http://www.dove.co.nz/jump/17385"
"Canon","PP301-A3-20","Canon PP-301 A3 Glossy II 275gsm Photo Paper - 20 Sheets","PB2071",49.99,31.00,0,"Printer Consumables","Clearance","","http://www.dove.co.nz/images/products/17386-1516612.jpg","http://www.dove.co.nz/jump/17386"
"Canon","KP108IN","Canon KP-108IN Selphy 6x4 Photo Paper & Ink Kit - 108 Sheets","PB2080",54.99,37.00,17,"Printer Consumables","","","http://www.dove.co.nz/images/products/17389-2511712.jpg","http://www.dove.co.nz/jump/17389"
"Canon","RP108","Canon RP-108 Selphy 6x4 Photo Paper & Ink Kit - 108 Sheets","PB2086",49.99,31.00,21,"Printer Consumables","","","http://www.dove.co.nz/images/products/17390-3111712.jpg","http://www.dove.co.nz/jump/17390"
"Canon","PP3014X650","Canon PP-301 4x6 Glossy II 275gsm Photo Paper - 50 Sheets","PB2089",19.99,13.00,2,"Printer Consumables","","","http://www.dove.co.nz/images/products/17387-1716612.jpg","http://www.dove.co.nz/jump/17387"
"Canon","PM101A4-20","Canon PM-101 A4 Matte 210gsm Photo Paper Pro Premium - 20 Sheets","PB2090",39.99,26.50,0,"Printer Consumables","","","http://www.dove.co.nz/images/products/18804-2410186.jpg","http://www.dove.co.nz/jump/18804"
"Canon","PM101A3+-20","Canon PM-101 A3+ Matte 210gsm Photo Paper Pro Premium - 20 Sheets","PB2091",89.99,59.70,0,"Printer Consumables","","","http://www.dove.co.nz/images/products/18805-2610186.jpg","http://www.dove.co.nz/jump/18805"
"Canon","LU101A4-20","Canon LU-101 A4 Luster 260gsm Photo Paper Pro - 20 Sheets","PB2092",39.99,24.75,0,"Printer Consumables","","","http://www.dove.co.nz/images/products/17378-4715612.jpg","http://www.dove.co.nz/jump/17378"
"Canon","LU101A3-20","Canon LU-101 A3 Luster 260gsm Photo Paper Pro - 20 Sheets","PB2093",79.99,49.50,0,"Printer Consumables","","","http://www.dove.co.nz/images/products/18803-1810186.jpg","http://www.dove.co.nz/jump/18803"
"Canon","ECA4OFC","Canon ECA4OFC Office A4 80GSM White PCP","PB2095",33.50,21.47,1,"Printer Consumables","","","","http://www.dove.co.nz/jump/0"
"Canon","PF44","Canon PF44 500 Sheet Paper Feeder","PB3144",264.99,179.20,1,"Canon Printer & Accessories","Printer Accessories","","http://www.dove.co.nz/images/products/9248-116117.jpg","http://www.dove.co.nz/jump/9248"
"Canon","PF45","Canon PF45 Paper Feeder for LBP6750dn","PB3146",225.00,144.60,0,"Canon Printer & Accessories","Printer Accessories","","http://www.dove.co.nz/images/products/9250-792010.jpg","http://www.dove.co.nz/jump/9250"
"Canon","PF522","Canon PF522 250 Sheet Paper Feeder for LBP7200CDN","PB3147",399.00,256.40,0,"Canon Printer & Accessories","Printer Accessories","","http://www.dove.co.nz/images/products/11180-1292010.jpg","http://www.dove.co.nz/jump/11180"
"Canon","PF722","Canon PF722 500 Sheet Paper Feeder","PB3148",595.00,382.30,0,"Canon Printer & Accessories","Printer Accessories","","http://www.dove.co.nz/images/products/19062-1514129.jpg","http://www.dove.co.nz/jump/19062"
"Canon","CASSETTEAH1","Canon CASSETTEAH1 500 sheet paper feeder","PB3150",289.00,205.00,0,"Canon Printer & Accessories","Printer Accessories","","http://www.dove.co.nz/images/products/18473-159213.jpg","http://www.dove.co.nz/jump/18473"
"Canon","LBP212DW","Canon LBP212dw 30ppm Mono Laser Printer","PB3629",499.00,347.00,0,"Printers & MFC - Laser","Canon Printer & Accessories","","http://www.dove.co.nz/images/products/18431-61073.jpg","http://www.dove.co.nz/jump/18431"
"Canon","LBP215X","Canon LBP215X 38ppm Mono Laser Printer","PB3638",595.00,391.90,0,"Printers & MFC - Laser","Canon Printer & Accessories","","http://www.dove.co.nz/images/products/18525-121164.jpg","http://www.dove.co.nz/jump/18525"
"Canon","PFB1","Canon PFB1 500 Sheet Paper Feeder","PB3670",373.75,253.00,0,"Canon Printer & Accessories","Printer Accessories","","","http://www.dove.co.nz/jump/0"
"Canon","LBP351X","Canon LBP351x Laser Printer Mono 55ppm","PB3679",1795.00,1215.00,0,"Printers & MFC - Laser","Canon Printer & Accessories","","http://www.dove.co.nz/images/products/19138-69259.jpg","http://www.dove.co.nz/jump/19138"
"Canon","MB2160","Canon MAXIFY MB2160 19ipm Business Inkjet MFC Printer","PB5121",199.00,135.00,5,"Printers & MFC - Inkjet","Canon Printer & Accessories","","http://www.dove.co.nz/images/products/14844-27142710.jpg","http://www.dove.co.nz/jump/14844"
"Canon","MB5160","Canon MAXIFY MB5160 24ipm Business Inkjet MFC Printer","PB5151",299.00,202.00,18,"Printers & MFC - Inkjet","Canon Printer & Accessories","","http://www.dove.co.nz/images/products/14917-1211215.jpg","http://www.dove.co.nz/jump/14917"
"Canon","MB5460","Canon MAXIFY MB5460 24ipm Business Inkjet MFC Printer","PB5154",349.00,236.00,21,"Printers & MFC - Inkjet","Canon Printer & Accessories","","http://www.dove.co.nz/images/products/14876-558411.jpg","http://www.dove.co.nz/jump/14876"
"Canon","MF249DW","Canon MF249DW 27ppm Mono Laser MFC Printer","PB6492",549.00,382.00,0,"Canon Printer & Accessories","Printers & MFC - Laser","","http://www.dove.co.nz/images/products/15613-31425.jpg","http://www.dove.co.nz/jump/15613"
"Canon","MF416DW","Canon MF416DW 33ppm Mono Laser MFC Printer","PB6494",995.00,692.00,0,"Canon Printer & Accessories","Printers & MFC - Laser","","http://www.dove.co.nz/images/products/16006-2613318.jpg","http://www.dove.co.nz/jump/16006"
"Canon","MF419X","Canon MF419X 33ppm Mono Laser MFC Printer","PB6496",1290.00,897.00,0,"Canon Printer & Accessories","Printers & MFC - Laser","","http://www.dove.co.nz/images/products/16007-4013318.jpg","http://www.dove.co.nz/jump/16007"
"Canon","TS3160","Canon PIXMA TS3160 7.7 ipm/4.0 ipm Inkjet MFC Printer ","PB7034",99.00,72.00,21,"Canon Printer & Accessories","Printers & MFC - Inkjet","","http://www.dove.co.nz/images/products/18576-479184.jpg","http://www.dove.co.nz/jump/18576"
"Canon","TS5160","Canon PIXMA TS5160 13.0ipm/6.8ipm Inkjet MFC Printer","PB7053",129.00,87.00,21,"Canon Printer & Accessories","Printers & MFC - Inkjet","","http://www.dove.co.nz/images/products/16366-358211.jpg","http://www.dove.co.nz/jump/16366"
"Canon","TS6160","Canon PIXMA TS6160 15ipm/10ipm Inkjet MFC Printer","PB7061",149.00,101.00,21,"Canon Printer & Accessories","Printers & MFC - Inkjet","","http://www.dove.co.nz/images/products/18104-3116221.jpg","http://www.dove.co.nz/jump/18104"
"Canon","TS9160G","Canon PIXMA TS9160 Inkjet MFC Printer Grey *$80 CBK*","PB7094",229.00,177.00,10,"Canon Printer & Accessories","Printers & MFC - Inkjet","","http://www.dove.co.nz/images/products/18103-5615221.jpg","http://www.dove.co.nz/jump/18103"
"Canon","MG2460","Canon PIXMA MG2460 8ipm/4ipm Inkjet MFC Printer","PB7222",59.00,34.00,21,"Printers & MFC - Inkjet","Canon Printer & Accessories","","http://www.dove.co.nz/images/products/10446-2017297.jpg","http://www.dove.co.nz/jump/10446"
"Canon","MG2965","Canon PIXMA MG2965 8.0ipm Inkjet MFC Printer WiFi","PB7298",79.90,29.00,21,"Printers & MFC - Inkjet","Canon Printer & Accessories","","http://www.dove.co.nz/images/products/15524-508134.jpg","http://www.dove.co.nz/jump/15524"
"Canon","MG3060W","Canon PIXMA MG3060W 8.0ipm Inkjet Multi Function Printer WiFi White","PB7335",79.00,57.00,20,"Printers & MFC - Inkjet","Canon Printer & Accessories","","http://www.dove.co.nz/images/products/18148-1814231.jpg","http://www.dove.co.nz/jump/18148"
"Canon","TR7560","Canon PIXMA TR7560 15ipm/10ipm Inkjet MFC Printer","PB7727",179.00,121.00,21,"Canon Printer & Accessories","Printers & MFC - Inkjet","","http://www.dove.co.nz/images/products/18147-2313231.jpg","http://www.dove.co.nz/jump/18147"
"Canon","TR8560","Canon PIXMA TR8560 15ipm/10ipm Inkjet MFC Printer","PB7780",249.00,151.00,1,"Canon Printer & Accessories","Printers & MFC - Inkjet","","http://www.dove.co.nz/images/products/18146-5412231.jpg","http://www.dove.co.nz/jump/18146"
"Canon","SX540HS","Canon PowerShot SX540HS 20.3MP CMOS 50x Zoom Digital Camera","PB8219",549.00,403.00,21,"Digital Camera","","","http://www.dove.co.nz/images/products/15142-329181.jpg","http://www.dove.co.nz/jump/15142"
"Canon","SX430IS","Canon PowerShot SX430 IS 20.5MP 45x Zoom Digital Camera Black","PB8226",449.00,336.00,10,"Digital Camera","","","http://www.dove.co.nz/images/products/15382-1610282.jpg","http://www.dove.co.nz/jump/15382"
"Canon","SX740HSBK","Canon PowerShot SX740 HS 20.3MP CMOS 40x Digital Camera Blk","PB8308",699.00,547.00,0,"Digital Camera","","","http://www.dove.co.nz/images/products/19039-571379.jpg","http://www.dove.co.nz/jump/19039"
"Canon","IXUS185BK","Canon IXUS 185 20.0MP 8x Zoom Digital Camera Black","PB8343K",199.00,140.00,13,"Digital Camera","","","http://www.dove.co.nz/images/products/15388-361023.jpg","http://www.dove.co.nz/jump/15388"
"Canon","IXUS185R","Canon IXUS 185 20.0MP 8x Zoom Digital Camera Red","PB8343R",199.00,140.00,2,"Digital Camera","","","http://www.dove.co.nz/images/products/15389-401023.jpg","http://www.dove.co.nz/jump/15389"
